lad_code,year,bev_stock,bev_share_cars,bev_per_1000_pop,devices_eoy,devices_per_1000_pop,total_cars,pop,gdhi_pc,car_fuel_per_1000_pop,imd25_decile_mean,imd25_share_1_2,is_rural,no_offstreet_share,evhs_per_1000_pop,orcs_cumulative,gci_mean,gci_missing,base_density,loo_growth,bartik_iv,year_num,devices_lag1,bartik_iv_lag1,gdhi_pc_1000,deprivation_tercile,income_tercile,most_deprived_dummy,least_deprived_dummy,low_income_dummy,high_income_dummy,urban_dummy,chargers_x_most_deprived,chargers_x_least_deprived,chargers_x_low_income,chargers_x_high_income,chargers_x_urban,bartik_x_most_deprived,bartik_x_least_deprived,bartik_x_low_income,bartik_x_high_income,bartik_x_urban
E06000038,2023,1111,0.01653495259781816,6.176923547366607,135,0.7505712681318559,67191,179863,24551,0.1744703839457926,5.79,0.11,0,0.5234229786245354,NA,18,NA,1,0.21229229780593042,3.5104848736013263,0.7452489002297867,2023,0.6527489243832941,0.5058240103627917,24.551,2,3,0,0,0,1,1,0,0,0,0.7505712681318559,0.7505712681318559,0,0,0,0.7452489002297867,0.7452489002297867
E06000039,2019,2533,0.014481071130472565,16.06907226958993,47,0.2981628095818108,174918,157632,18523,0.2870638333409213,4.559523809523809,0.09523809523809523,0,0.39958530805687204,0.21569224522939504,0,NA,1,0.2981628095818108,1,0.2981628095818108,2019,0.7505712681318559,0.7452489002297867,18.523,3,1,0,1,1,0,1,0,0.2981628095818108,0.2981628095818108,0,0.2981628095818108,0,0.2981628095818108,0.2981628095818108,0,0.2981628095818108
E06000039,2020,6489,0.03791123081507102,40.99670838571907,57,0.3601190288158402,171162.99999999997,158281,18476,0.197312731392042,4.559523809523809,0.09523809523809523,0,0.39958530805687204,0.36643690651436367,0,NA,1,0.2981628095818108,1.3103276648693487,0.3906909780302184,2020,0.2981628095818108,0.2981628095818108,18.476,3,1,0,1,1,0,1,0,0.3601190288158402,0.3601190288158402,0,0.3601190288158402,0,0.3906909780302184,0.3906909780302184,0,0.3906909780302184
E06000039,2021,13052,0.0769629926645753,82.37402807230133,68,0.4291628799353731,169588.00000000003,158448,18749,0.19973704609797535,4.559523809523809,0.09523809523809523,0,0.39958530805687204,0.6500555387256387,0,NA,1,0.2981628095818108,1.7616756532559104,0.5252661623466541,2021,0.3601190288158402,0.3906909780302184,18.749,3,1,0,1,1,0,1,0,0.4291628799353731,0.4291628799353731,0,0.4291628799353731,0,0.5252661623466541,0.5252661623466541,0,0.5252661623466541
E06000039,2022,20680,0.1220303777748929,129.46685698545062,78,0.48831793253699946,169466,159732,19784,0.22505863842567678,4.559523809523809,0.09523809523809523,0,0.39958530805687204,0.5884857135702302,0,NA,1,0.2981628095818108,2.3877229365408543,0.7119301792619529,2022,0.4291628799353731,0.5252661623466541,19.784,3,1,0,1,1,0,1,0,0.48831793253699946,0.48831793253699946,0,0.48831793253699946,0,0.7119301792619529,0.7119301792619529,0,0.7119301792619529
E06000039,2023,30407,0.18224699571458539,185.47639380261072,96,0.5855800902769306,166845,163940,21205,0.2195797460931072,4.559523809523809,0.09523809523809523,0,0.39958530805687204,NA,0,NA,1,0.2981628095818108,3.516632102861883,1.0485289080548905,2023,0.48831793253699946,0.7119301792619529,21.205,3,2,0,1,0,0,1,0,0.5855800902769306,0,0,0.5855800902769306,0,1.0485289080548905,0,0,1.0485289080548905
E06000040,2019,366,0.004264591076984025,2.378275815014328,29,0.18844261922244676,85823,153893,32288,0.5886060356321235,8.314606741573034,0,0,0.3715833228366293,0.8837309039397504,0,NA,1,0.18844261922244676,1,0.18844261922244676,2019,0.5855800902769306,1.0485289080548905,32.288,1,3,1,0,0,1,1,0.18844261922244676,0,0,0.18844261922244676,0.18844261922244676,0.18844261922244676,0,0,0.18844261922244676,0.18844261922244676
E06000040,2020,3041,0.03137089037209734,19.747907345234463,32,0.20780435220240143,96937.00000000001,153991,31350,0.3861993833527414,8.314606741573034,0,0,0.3715833228366293,1.5260632114863855,0,NA,1,0.18844261922244676,1.3104447941688064,0.24694364935959,2020,0.18844261922244676,0.18844261922244676,31.35,1,3,1,0,0,1,1,0.20780435220240143,0,0,0.20780435220240143,0.20780435220240143,0.24694364935959,0,0,0.24694364935959,0.24694364935959
E06000040,2021,10815,0.09139230665224446,70.26286040981796,40,0.2598718831616013,118336,153922,32600,0.42477775650586264,8.314606741573034,0,0,0.3715833228366293,2.969036265121295,0,NA,1,0.18844261922244676,1.7613683425826223,0.3319168638917693,2021,0.20780435220240143,0.24694364935959,32.6,1,3,1,0,0,1,1,0.2598718831616013,0,0,0.2598718831616013,0.2598718831616013,0.3319168638917693,0,0,0.3319168638917693,0.3319168638917693
E06000040,2022,26390,0.1673144103419199,170.18230594122616,68,0.43851446775306474,157727,155069,34153,0.47826988204271964,8.314606741573034,0,0,0.3715833228366293,1.6444292540739929,0,NA,1,0.18844261922244676,2.3849913029073138,0.4494340079426101,2022,0.2598718831616013,0.3319168638917693,34.153,1,3,1,0,0,1,1,0.43851446775306474,0,0,0.43851446775306474,0.43851446775306474,0.4494340079426101,0,0,0.4494340079426101,0.4494340079426101
E06000040,2023,43083,0.21512458181455038,274.1102217924084,115,0.7316731774975505,200269.99999999997,157174,36876,0.4786626988468303,8.314606741573034,0,0,0.3715833228366293,NA,0,NA,1,0.18844261922244676,3.5098152903172366,0.6613987862943724,2023,0.43851446775306474,0.4494340079426101,36.876,1,3,1,0,0,1,1,0.7316731774975505,0,0,0.7316731774975505,0.7316731774975505,0.6613987862943724,0,0,0.6613987862943724,0.6613987862943724
